,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100
北原麗子,0,0,0,5,0,5,0,0,0,0,4,0,3,1,3,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,2,0,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,2,0,1,0,0,2,1,1,0,0
里中涼,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,1,2,1,0,0,1,0,1,0,2,0,1,1,0,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,2,0,0,1,1,2,1,2,2,0,1,0,0,1,1,1,0,2,0,0,0,0
津村愛,1,1,0,1,0,0,1,0,1,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,3,1,1,0,0,2,0,0,0,1,0,0,5,0,0,0,1,3,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,4,3,0,0,0,0,1,1,1,1,4,3,0,1
ほしあいな,8,0,1,1,0,1,0,1,0,2,1,1,0,1,0,1,3,1,0,1,0,0,4,2,0,1,0,1,2,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,0,1,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,1,1,0,2,0,0
横山翔子,1,0,5,0,2,0,1,0,0,1,0,0,1,2,1,0,0,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,2,0,0,1,0,2,1,0,1,10,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,1,3,1,2,4,1,2,4,1,1,0,0,0,1,1,0,0,1,0,2,0,0,2,1,1,2,0,0,0,0
あすかりの,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,1,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
南野らん,2,1,0,1,0,0,0,3,2,2,1,1,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
佐野あかね,1,1,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,3,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,0,0,0,0,1,0,0
あられ,1,0,2,1,0,6,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,2,3,0,0,0,0,0,3,0,0,0,1,3,0,0,2,0,0,0,0
橘れもん,0,0,0,0,1,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,3,0,3,0,1,1,1,0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0
岡本渚,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,2,0,1,0,3,3,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
紅葉紅葉,0,1,0,8,0,5,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,2,1,0,0,2,0,4,0,1,2,1,0,3,0,3,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,3,0,0,1
秋本由香里,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,2,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,3,2,0,0,1,0,2,0,1,0,0,2,1,0,2,0,0,0,0,0
中村さら,4,0,1,2,1,6,1,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,1,0,1,1,2,1,0,0,2,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,2,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
長谷真理香,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,4,0,2,0,1,0,0,0,0
藍花,0,0,0,0,0,3,0,0,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
有村みのり,1,0,1,1,0,2,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
藤本さおり,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,2,0,2,2,0,0,0,2,2,0,1,1,0,0,1
真崎寧々,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,4,3,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0
あげは,4,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
神田美穂,0,0,0,2,1,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
彩花ゆめ,2,0,1,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,4,0,2,1,2,0,0,0,1,5,1,1,1,0,2,1,0,1,2,0,0,0,2,0,0,1,0,0,1,0,1,0
SEIRA,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,4,0,2,1,0,0,0,0,1,0,0,0,0,1,3,0,0,1,2,0,6,0,1,0,1,1,0,0,3,0,1,0,3,2,0,0,3,0,0,2,1,0,0,0,2,0,0,2,0,0,1,2,0,2,0,0,0,1,0,0,4,4,1,0,0,0,2,0,0,0,0,1,1,1,2,1,0,2,0,0
雨音しおん,0,3,0,0,0,2,0,0,0,1,0,0,1,0,3,0,0,0,0,2,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0
吉澤あゆみ,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
相原千恵子,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,4,0,2,1,0,1,1,0,1,0,0,1,1,3,2,0,0,3,0,1,0,1,3,0,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0
朝日なな,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,2,1,0,0,0,1,2,0,0,0,0,0,1,2,0,4,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,3,1,0
矢田みりあ,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,5,1,0,0
うらん,2,0,1,2,0,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,3,1,0,1,1,1,3,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,1,1,2,0
星野かなこ,0,0,0,2,0,6,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0,1,0,2,2,0,0,0
綾城結花,0,1,1,2,0,0,1,2,0,1,1,0,1,5,2,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,3,0,1,0,0,2,3,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,3,0,0
魚住里奈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,1,0,0,1,0,0,2
佐野ともか,0,1,0,1,1,2,0,2,0,0,1,1,0,2,1,1,0,0,0,1,0,1,3,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,2,0,0,0,1,0,1,0,0,2,3,0
瀬戸ひなた,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,2,0,1,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
はるか悠,0,0,0,1,2,4,0,1,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
リナ・ディソン,0,2,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,4,0,0,0,0,0,1,2,0,0,1,1,1,0,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,2,0,0,0,1,1,0,2,1,0,1,2,1,0,0,0,0,0,0
千堂ゆりあ,0,0,0,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,1,0,8,0,0
片瀬りこ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,2,0,0
白石ゆりか,0,1,0,2,0,8,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,3,1,0,2,0,0,0,1,1,1,0,0,1,0,0,3,1,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,3,1,0,0
さくら奈々,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,2,2,1,0,0,1,1,0,2,0,1,1,1,1,0,3,0,0,0,0,5,0,0,0,0,2,0,0,0,2,1,0,1,1,0,0,0,2,0,0,2,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,3,0,0,0
月嶋りお,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0
橘くらら,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,0,0,1,1,0,0,4,0,1,0,0,0,0,1,2,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0
樋口冴子,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,4,0,1,1,1
一ノ瀬さくら,2,1,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,1,2,0,0,1,1,0,1,0,2,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
紅りんご,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,2,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,2,1,2,0,1,1,6,0
小山玲子,3,1,0,0,0,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,2,2,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,1,1,0,0,0,3,0,0,1,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0
滝沢クリステル,0,3,0,0,0,0,0,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,3,1,0,0,0,0,0,1,0
美神奈々,0,2,0,0,1,0,0,2,1,0,2,0,0,0,2,0,0,2,0,1,1,1,0,0,1,2,1,1,0,1,0,0,1,1,2,0,1,0,1,0,0,4,0,0,0,0,1,0,0,1,1,1,1,0,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2,3,0,1,1,1,0,1,2,0,1,0,0,1,0,1,3,0,3,2,0
風吹逸見,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,3,1,0,0,3,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,1,1,0
野沢友花,0,1,1,1,0,1,0,0,0,0,0,0,0,1,3,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
藤宮えりか,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
藤本AYAY,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,4,0,3,0,1,1,0,0,1,1,0,1,0,3,0,0,1,1,1,1,1,2,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,3,0,1,1,0,0,1,0,0,0,0,0
かすみりさ,0,2,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
若狭静珈,0,0,0,1,1,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,2,0,0,0,1,0,0,1,0,0,0,0
黒崎ヒトミ,0,0,0,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒崎ルナ,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,1,1,3,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0
浅井千尋,0,2,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
菊川りえ,0,1,0,3,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,1,1,0,0,2,3,0,0,0,0,0,0,3,1,2,0,0,2,0,0,0,1,0,0,0,0,1,2,1,1,0,4,0,2,0,0,0,4,0,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,1,1,0,1,0,0
星野いずみ,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,2,1,0,1,2,0,0,0,0,2,0,0,1,2,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,3,1,1,2,1,0,0,0,1,1,0,0,2,0,0,0
美花ぬりぇ,0,0,0,0,0,0,2,3,0,1,1,0,1,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,1,1,0
夢見ほのか,0,1,2,0,0,0,0,2,0,0,0,0,1,2,2,1,0,4,0,0,1,0,0,1,2,0,0,1,1,2,1,0,1,0,0,0,1,0,4,0,0,4,0,0,1,0,0,1,1,0,0,1,4,0,1,0,0,0,0,1,0,2,1,0,2,0,2,0,0,0,0,1,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
瀬崎ひとみ,0,3,0,4,0,3,0,2,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,1,0,1,2,0,0,0,0,1,0,2,0,0,2,1,0,0,0,1,1,1,0
七瀬みれい,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,1,1,1,2,1,2,0,0,1,0,0,0,0,1,1,0,2,1,1,1,1,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0
戸田恵梨,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
白石もも,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,2,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
鮎川なお,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0,2,0,1,0,0,0,1,0,0,1,0,3,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0
